idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
131,"RS232-T600","top.iXMIT.xmitDataSelH",29,35,0.5712,,"","待标注"
132,"RS232-T700","top.iRECEIVER.cntr_resetH",28,35,0.8632,,"","待标注"
133,"RS232-T700","top.iRECEIVER.countH",19,25,0.7593,,"","待标注"
134,"RS232-T700","top.iRECEIVER.next_state",44,49,0.4995,,"","待标注"
135,"RS232-T700","top.iRECEIVER.rec_readyInH",24,30,0.8843,,"","待标注"
136,"RS232-T700","top.iRECEIVER.rstCountH",23,29,0.7692,,"","待标注"
137,"RS232-T700","top.iRECEIVER.shiftH",19,25,0.7521,,"","待标注"
138,"RS232-T700","top.iXMIT.bitCell_cntrH",23,27,0.6988,,"","待标注"
139,"RS232-T700","top.iXMIT.bitCountH",25,30,0.6935,,"","待标注"
140,"RS232-T700","top.iXMIT.countEnaH",38,50,0.6561,,"","待标注"
141,"RS232-T700","top.iXMIT.DataSend_ena",11,10,0.5337,,"","待标注"
142,"RS232-T700","top.iXMIT.ena_bitCountH",33,44,0.6984,,"","待标注"
143,"RS232-T700","top.iXMIT.load_shiftRegH",28,37,0.7078,,"","待标注"
144,"RS232-T700","top.iXMIT.next_state",48,58,0.6079,,"","待标注"
145,"RS232-T700","top.iXMIT.rst_bitCountH",28,37,0.7101,,"","待标注"
146,"RS232-T700","top.iXMIT.shiftEnaH",26,34,0.6645,,"","待标注"
147,"RS232-T700","top.iXMIT.state_DataSend",49,58,0.5568,,"","待标注"
148,"RS232-T700","top.iXMIT.uart_xmitH",24,29,0.5991,,"","待标注"
149,"RS232-T700","top.iXMIT.xmit_doneH",9,8,0.8252,,"","待标注"
150,"RS232-T700","top.iXMIT.xmit_doneInH",32,43,0.6783,,"","待标注"
151,"RS232-T700","top.iXMIT.xmit_ShiftRegH",120,175,0.5107,,"","待标注"
152,"RS232-T700","top.iXMIT.xmitDataSelH",29,35,0.6260,,"","待标注"
153,"RS232-T800","top.iRECEIVER.cntr_resetH",28,35,0.9076,,"","待标注"
154,"RS232-T800","top.iRECEIVER.countH",19,25,0.8272,,"","待标注"
155,"RS232-T800","top.iRECEIVER.next_state",44,49,0.5345,,"","待标注"
156,"RS232-T800","top.iRECEIVER.rec_data_cntrH_1",33,39,0.3846,,"","待标注"
157,"RS232-T800","top.iRECEIVER.rec_data_cntrH_2",37,42,0.3848,,"","待标注"
158,"RS232-T800","top.iRECEIVER.rec_data_cntrH_3",14,15,0.5640,,"","待标注"
159,"RS232-T800","top.iRECEIVER.rec_readyH",8,7,0.3554,,"","待标注"
160,"RS232-T800","top.iRECEIVER.rec_readyH_temp",6,5,0.8032,,"","待标注"
161,"RS232-T800","top.iRECEIVER.rec_readyInH",24,30,0.8615,,"","待标注"
162,"RS232-T800","top.iRECEIVER.rstCountH",23,29,0.7299,,"","待标注"
163,"RS232-T800","top.iRECEIVER.shiftH",19,25,0.8601,,"","待标注"
164,"RS232-T800","top.iXMIT.bitCell_cntrH",23,27,0.5708,,"","待标注"
165,"RS232-T800","top.iXMIT.bitCountH",25,30,0.6001,,"","待标注"
166,"RS232-T800","top.iXMIT.countEnaH",38,50,0.5887,,"","待标注"
167,"RS232-T800","top.iXMIT.ena_bitCountH",33,44,0.6498,,"","待标注"
168,"RS232-T800","top.iXMIT.load_shiftRegH",28,37,0.6422,,"","待标注"
169,"RS232-T800","top.iXMIT.next_state",48,58,0.6296,,"","待标注"
170,"RS232-T800","top.iXMIT.rst_bitCountH",28,37,0.6595,,"","待标注"
171,"RS232-T800","top.iXMIT.shiftEnaH",26,34,0.6855,,"","待标注"
172,"RS232-T800","top.iXMIT.uart_xmitH",24,29,0.4630,,"","待标注"
173,"RS232-T800","top.iXMIT.xmit_doneInH",32,43,0.6483,,"","待标注"
174,"RS232-T800","top.iXMIT.xmit_ShiftRegH",126,184,0.4968,,"","待标注"
175,"RS232-T800","top.iXMIT.xmitDataSelH",29,35,0.5720,,"","待标注"
176,"RS232-T900","top.iRECEIVER.cntr_resetH",28,35,0.9106,,"","待标注"
177,"RS232-T900","top.iRECEIVER.countH",19,25,0.8222,,"","待标注"
178,"RS232-T900","top.iRECEIVER.next_state",44,49,0.5825,,"","待标注"
179,"RS232-T900","top.iRECEIVER.rec_readyInH",24,30,0.8913,,"","待标注"
180,"RS232-T900","top.iRECEIVER.rstCountH",23,29,0.7906,,"","待标注"
181,"RS232-T900","top.iRECEIVER.shiftH",19,25,0.8133,,"","待标注"
182,"RS232-T900","top.iXMIT.bitCell_cntrH",23,27,0.6076,,"","待标注"
183,"RS232-T900","top.iXMIT.bitCountH",25,30,0.6490,,"","待标注"
184,"RS232-T900","top.iXMIT.countEnaH",38,50,0.6207,,"","待标注"
185,"RS232-T900","top.iXMIT.ena_bitCountH",33,44,0.6654,,"","待标注"
186,"RS232-T900","top.iXMIT.load_shiftRegH",28,37,0.6747,,"","待标注"
187,"RS232-T900","top.iXMIT.next_state",48,58,0.6220,,"","待标注"
188,"RS232-T900","top.iXMIT.rst_bitCountH",28,37,0.6896,,"","待标注"
189,"RS232-T900","top.iXMIT.shiftEnaH",26,34,0.6674,,"","待标注"
190,"RS232-T900","top.iXMIT.uart_xmitH",24,29,0.4060,,"","待标注"
191,"RS232-T900","top.iXMIT.xmit_doneInH",32,43,0.6653,,"","待标注"
192,"RS232-T900","top.iXMIT.xmit_ShiftRegH",126,184,0.4945,,"","待标注"
193,"RS232-T900","top.iXMIT.xmitDataSelH",29,35,0.6319,,"","待标注"
194,"RS232-T901","top.iRECEIVER.cntr_resetH",28,35,0.8978,,"","待标注"
195,"RS232-T901","top.iRECEIVER.countH",19,25,0.7975,,"","待标注"
196,"RS232-T901","top.iRECEIVER.next_state",44,49,0.5590,,"","待标注"
197,"RS232-T901","top.iRECEIVER.rec_readyInH",24,30,0.8811,,"","待标注"
198,"RS232-T901","top.iRECEIVER.rstCountH",23,29,0.7789,,"","待标注"
199,"RS232-T901","top.iRECEIVER.shiftH",19,25,0.8056,,"","待标注"
200,"RS232-T901","top.iXMIT.bitCell_cntrH",23,27,0.6224,,"","待标注"
201,"RS232-T901","top.iXMIT.bitCountH",25,30,0.6532,,"","待标注"
202,"RS232-T901","top.iXMIT.countEnaH",43,58,0.6745,,"","待标注"
203,"RS232-T901","top.iXMIT.DataSend_ena",11,10,0.5498,,"","待标注"
204,"RS232-T901","top.iXMIT.ena_bitCountH",36,49,0.6910,,"","待标注"
205,"RS232-T901","top.iXMIT.load_shiftRegH",31,42,0.7180,,"","待标注"
206,"RS232-T901","top.iXMIT.next_state",57,69,0.6263,,"","待标注"
207,"RS232-T901","top.iXMIT.rst_bitCountH",31,42,0.7232,,"","待标注"
208,"RS232-T901","top.iXMIT.shiftEnaH",29,39,0.6969,,"","待标注"
209,"RS232-T901","top.iXMIT.state_DataSend",50,60,0.5258,,"","待标注"
210,"RS232-T901","top.iXMIT.uart_xmitH",24,29,0.5405,,"","待标注"
211,"RS232-T901","top.iXMIT.xmit_doneInH",35,48,0.7279,,"","待标注"
212,"RS232-T901","top.iXMIT.xmit_ShiftRegH",126,184,0.5410,,"","待标注"
213,"RS232-T901","top.iXMIT.xmitDataSelH",37,46,0.6722,,"","待标注"
214,"adder-T100","top.tj_t2_tempSum1_mod",5,4,0.4158,,"","待标注"
215,"adder-T100","top.tj_t2_trig",7,6,0.8014,,"","待标注"
216,"adder-T600","top.tempSum1",121,140,0.4301,,"","待标注"
217,"adder-T601","top.tempCarry1",24,25,0.4489,,"","待标注"
218,"adder-T800","top.tempSum3",121,140,0.4650,,"","待标注"
219,"ata-T100","top.tj_t1_cnt",9,9,0.4805,,"","待标注"
220,"ata-T100","top.tj_t1_trig",4,3,0.8025,,"","待标注"
221,"ata-T200","top.tj_t2_trig",6,5,0.7152,,"","待标注"
222,"ata-T200","top.tj_t2_wb_ack_o_mod",5,4,0.4586,,"","待标注"
223,"ata-T300","top.tj_t3_flag",11,10,0.5600,,"","待标注"
224,"ata-T300","top.tj_t3_leak",15,15,0.4978,,"","待标注"
225,"ata-T600","top.u1.PIO_timing_controller.done",31,42,0.5232,,"","待标注"
226,"ata-T800","top.u1.cIORDY",16,18,0.4410,,"","待标注"
227,"datetime-T100","top.tj_t1_cnt",9,9,0.5294,,"","待标注"
