idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"PIC16F84-T100","top.Counter",89,109,0.2704,,"","待标注"
1,"PIC16F84-T100","top.prog_adr_o",8,8,0.3531,,"","待标注"
2,"PIC16F84-T200","top.Counter",89,109,0.3277,,"","待标注"
3,"PIC16F84-T200","top.inst_reg",23,30,0.8670,,"","待标注"
4,"PIC16F84-T200","top.Trojan_Trigger_Out",7,6,0.6134,,"","待标注"
5,"PIC16F84-T300","top.Counter",89,109,0.3184,,"","待标注"
6,"PIC16F84-T300","top.eep_dat_reg",43,55,0.9594,,"","待标注"
7,"PIC16F84-T300","top.Trojan_Trigger_Out",7,6,0.4934,,"","待标注"
8,"PIC16F84-T400","top.Counter",89,109,0.2574,,"","待标注"
9,"PIC16F84-T400","top.eep_adr_reg",33,43,0.9457,,"","待标注"
10,"PIC16F84-T400","top.Trojan_Trigger_Out",7,6,0.3368,,"","待标注"
11,"RC6-T100","top.tj_t1_cnt",9,9,0.3044,,"","待标注"
12,"RC6-T100","top.tj_t1_trig",4,3,0.3490,,"","待标注"
13,"RC6-T200","top.tj_t2_s_exkey_mod",5,4,0.3132,,"","待标注"
14,"RC6-T200","top.tj_t2_trig",4,3,0.2438,,"","待标注"
15,"RC6-T300","top.tj_t3_flag",7,6,0.2854,,"","待标注"
16,"RC6-T300","top.tj_t3_leak",11,11,0.3073,,"","待标注"
17,"RC6-T600","top.u_keyex.s_busy",15,15,0.6373,,"","待标注"
18,"RC6-T700","top.u_keyex.r_count",22,26,0.2623,,"","待标注"
19,"RC6-T800","top.u_keyex.s_tmp",43,76,0.2886,,"","待标注"
20,"RS232-T100","top.iRECEIVER.ena",6,5,0.1834,,"","待标注"
21,"RS232-T100","top.iRECEIVER.rec_data_cntrH_1",33,39,0.1277,,"","待标注"
22,"RS232-T100","top.iRECEIVER.rec_data_cntrH_2",37,42,0.1203,,"","待标注"
23,"RS232-T100","top.iRECEIVER.rec_data_cntrH_3",14,15,0.2184,,"","待标注"
24,"RS232-T100","top.iRECEIVER.rec_dataH",5,4,0.2244,,"","待标注"
25,"RS232-T100","top.iRECEIVER.rec_readyH",5,4,0.3447,,"","待标注"
26,"RS232-T100","top.iRECEIVER.rec_readyH_temp",6,5,0.8285,,"","待标注"
27,"RS232-T200","top.iRECEIVER.clk_l",3,2,0.2520,,"","待标注"
28,"RS232-T200","top.iRECEIVER.cntr_resetH",28,35,0.8489,,"","待标注"
29,"RS232-T200","top.iRECEIVER.count_l",11,10,0.4685,,"","待标注"
