idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"AES-T100","top.Trojan.lfsr.d0",17,19,0.5401,,"","待标注"
1,"AES-T100","top.Trojan.lfsr.lfsr_stream",12,11,0.3539,,"","待标注"
2,"AES-T100","top.Trojan.load",452,577,0.3390,,"","待标注"
3,"AES-T1000","top.Trigger.Tj_Trig",12,11,0.5174,,"","待标注"
4,"AES-T1000","top.Trojan.lfsr.d0",17,19,0.5170,,"","待标注"
5,"AES-T1000","top.Trojan.lfsr.lfsr_stream",19,19,0.3729,,"","待标注"
6,"AES-T1000","top.Trojan.load",452,577,0.3930,,"","待标注"
7,"AES-T1100","top.Trigger.State0",12,11,0.5192,,"","待标注"
8,"AES-T1100","top.Trigger.State1",19,20,0.5186,,"","待标注"
9,"AES-T1100","top.Trigger.State2",26,29,0.4995,,"","待标注"
10,"AES-T1100","top.Trigger.State3",33,38,0.4407,,"","待标注"
11,"AES-T1100","top.Trigger.Tj_Trig",8,7,0.4633,,"","待标注"
12,"AES-T1100","top.Trojan.lfsr.d0",17,19,0.5542,,"","待标注"
13,"AES-T1100","top.Trojan.lfsr.lfsr_stream",17,17,0.4303,,"","待标注"
14,"AES-T1100","top.Trojan.load",452,577,0.3255,,"","待标注"
15,"AES-T1200","top.Trigger.Counter",9,8,0.4715,,"","待标注"
16,"AES-T1200","top.Trigger.Tj_Trig",12,11,0.5196,,"","待标注"
17,"AES-T1200","top.Trojan.lfsr.d0",17,19,0.7228,,"","待标注"
18,"AES-T1200","top.Trojan.lfsr.lfsr_stream",17,17,0.4194,,"","待标注"
19,"AES-T1200","top.Trojan.load",452,577,0.3340,,"","待标注"
20,"AES-T1300","top.Trigger.Tj_Trig",12,11,0.4936,,"","待标注"
21,"AES-T1300","top.Trojan.enable1",68,81,0.7048,,"","待标注"
22,"AES-T1300","top.Trojan.enable2",68,81,0.7103,,"","待标注"
23,"AES-T1300","top.Trojan.enable3",68,81,0.7138,,"","待标注"
24,"AES-T1300","top.Trojan.enable4",68,81,0.7130,,"","待标注"
25,"AES-T1300","top.Trojan.enable5",68,81,0.7198,,"","待标注"
