circuit_name,base_name,signal_name,subgraph_index,similarity,diff_score,detection_time,node_count,edge_count
PIC16F84-T100,PIC16F84,top.inst_decfsz,48,0.5857864417795234,0.70710677,0.1566636562347412,7,6
PIC16F84-T100,PIC16F84,top.inst_goto,49,0.5857864417795234,0.70710677,0.1462721824645996,7,6
PIC16F84-T100,PIC16F84,top.inst_incf,50,0.5857864417795234,0.70710677,0.1439344882965088,7,6
PIC16F84-T100,PIC16F84,top.inst_incfsz,51,0.5857864417795234,0.70710677,0.1510145664215088,7,6
PIC16F84-T100,PIC16F84,top.inst_iorlw,52,0.5857864417795234,0.70710677,0.2172255516052246,7,6
PIC16F84-T100,PIC16F84,top.inst_iorwf,53,0.5857864417795234,0.70710677,0.26479411125183105,7,6
PIC16F84-T100,PIC16F84,top.inst_movf,54,0.5857864417795234,0.70710677,0.1751270294189453,7,6
PIC16F84-T100,PIC16F84,top.inst_movlw,55,0.5857864417795234,0.70710677,0.18306875228881836,7,6
PIC16F84-T100,PIC16F84,top.inst_movwf,56,0.5857864417795234,0.70710677,0.13743209838867188,7,6
PIC16F84-T100,PIC16F84,top.inst_reg,57,0.5857864417795234,0.70710677,0.19457745552062988,19,26
PIC16F84-T100,PIC16F84,top.inst_ret,58,0.5857864417795234,0.70710677,0.15124797821044922,4,3
PIC16F84-T100,PIC16F84,top.inst_retfie,59,0.5857864417795234,0.70710677,0.298297643661499,4,3
PIC16F84-T100,PIC16F84,top.inst_retlw,60,0.5857864417795234,0.70710677,0.31394362449645996,7,6
PIC16F84-T100,PIC16F84,top.inst_rlf,61,0.5857864417795234,0.70710677,0.29398417472839355,7,6
PIC16F84-T100,PIC16F84,top.inst_rrf,62,0.5857864417795234,0.70710677,0.18515992164611816,7,6
PIC16F84-T100,PIC16F84,top.inst_sleep,63,0.5857864417795234,0.70710677,0.13025283813476562,4,3
PIC16F84-T100,PIC16F84,top.inst_sublw,64,0.5857864417795234,0.70710677,0.16135430335998535,7,6
PIC16F84-T100,PIC16F84,top.inst_subwf,65,0.5857864417795234,0.70710677,0.15878653526306152,7,6
PIC16F84-T100,PIC16F84,top.inst_swapf,66,0.5857864417795234,0.70710677,0.1372067928314209,7,6
PIC16F84-T100,PIC16F84,top.inst_xorlw,67,0.5857864417795234,0.70710677,0.2038123607635498,7,6
PIC16F84-T100,PIC16F84,top.inst_xorwf,68,0.5857864417795234,0.70710677,0.15510082244873047,7,6
PIC16F84-T100,PIC16F84,top.int_node,69,0.5857864417795234,0.70710677,0.2099010944366455,38,44
PIC16F84-T100,PIC16F84,top.intclr0,70,0.5857864417795234,0.70710677,0.13283443450927734,5,4
PIC16F84-T100,PIC16F84,top.intclr1,71,0.5857864417795234,0.70710677,0.15747904777526855,5,4
PIC16F84-T100,PIC16F84,top.intclr2,72,0.5857864417795234,0.70710677,0.13954496383666992,5,4
PIC16F84-T100,PIC16F84,top.intclr3,73,0.5857864417795234,0.70710677,0.14802908897399902,5,4
PIC16F84-T100,PIC16F84,top.intclr4,74,0.5857864417795234,0.70710677,0.14863252639770508,5,4
PIC16F84-T100,PIC16F84,top.intclr_reg,75,0.5857864417795234,0.70710677,0.20145654678344727,46,56
PIC16F84-T100,PIC16F84,top.intcon_reg,76,0.5857864417795234,0.70710677,0.4998331069946289,179,252
PIC16F84-T100,PIC16F84,top.intdown_reg,77,0.5857864417795234,0.70710677,0.3187732696533203,77,135
PIC16F84-T100,PIC16F84,top.inte,78,0.5857864417795234,0.70710677,0.1290745735168457,7,6
PIC16F84-T100,PIC16F84,top.intrise_reg,79,0.5857864417795234,0.70710677,0.2793869972229004,69,116
PIC16F84-T100,PIC16F84,top.intstart_reg,80,0.5857864417795234,0.70710677,0.20899486541748047,31,40
PIC16F84-T100,PIC16F84,top.mask_node,81,0.5857864417795234,0.70710677,0.15409278869628906,7,6
PIC16F84-T100,PIC16F84,top.option_reg,82,0.5857864417795234,0.70710677,0.1962735652923584,30,39
PIC16F84-T100,PIC16F84,top.pc_reg,83,0.5857864417795234,0.70710677,0.2797551155090332,71,83
PIC16F84-T100,PIC16F84,top.pclath_reg,84,0.5857864417795234,0.70710677,0.20248961448669434,33,42
PIC16F84-T100,PIC16F84,top.porta_i_sync_reg,85,0.5857864417795234,0.70710677,0.1488628387451172,10,11
PIC16F84-T100,PIC16F84,top.porta_o_reg,86,0.5857864417795234,0.70710677,0.203887939453125,32,42
PIC16F84-T100,PIC16F84,top.portb_i_sync_reg,87,0.5857864417795234,0.70710677,0.14036226272583008,10,11
PIC16F84-T100,PIC16F84,top.portb_o_reg,88,0.5857864417795234,0.70710677,0.19872307777404785,29,39
