idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
69,"AES-T1500","top.Trojan.SHReg2",18,19,0.3384,,"","待标注"
70,"AES-T1500","top.Trojan.SHReg3",18,19,0.2994,,"","待标注"
71,"AES-T1500","top.Trojan.SHReg4",18,19,0.2496,,"","待标注"
72,"AES-T1500","top.Trojan.SHReg5",18,19,0.3028,,"","待标注"
73,"AES-T1500","top.Trojan.SHReg6",18,19,0.3081,,"","待标注"
74,"AES-T1500","top.Trojan.SHReg7",18,19,0.2999,,"","待标注"
75,"AES-T1500","top.Trojan.SHReg8",18,19,0.3108,,"","待标注"
76,"AES-T1600","top.Tj_Trigger.Detected",8,7,0.3039,,"","待标注"
77,"AES-T1600","top.Tj_Trigger.State0",12,11,0.3169,,"","待标注"
78,"AES-T1600","top.Tj_Trigger.State1",19,20,0.3183,,"","待标注"
79,"AES-T1600","top.Tj_Trigger.State2",26,29,0.3111,,"","待标注"
80,"AES-T1600","top.Tj_Trigger.State3",33,38,0.2326,,"","待标注"
81,"AES-T1600","top.Tj_Trigger.tempClk1",15,15,0.2866,,"","待标注"
82,"AES-T1600","top.Tj_Trigger.tempClk2",23,24,0.2435,,"","待标注"
83,"AES-T1600","top.Tj_Trigger.Tj_Trig",4,3,0.2130,,"","待标注"
84,"AES-T1600","top.TSC.Antena",6,5,0.3643,,"","待标注"
85,"AES-T1600","top.TSC.Baud8GeneratorACC",13,12,0.3147,,"","待标注"
86,"AES-T1600","top.TSC.beep1",14,15,0.2285,,"","待标注"
87,"AES-T1600","top.TSC.beep2",20,21,0.2966,,"","待标注"
88,"AES-T1600","top.TSC.beeps",4,3,0.2604,,"","待标注"
89,"AES-T1600","top.TSC.MUX_Sel",11,11,0.2705,,"","待标注"
90,"AES-T1600","top.TSC.SHIFTReg",9,8,0.3719,,"","待标注"
91,"AES-T1700","top.Tj_Trigger.Counter",9,8,0.2962,,"","待标注"
92,"AES-T1700","top.Tj_Trigger.Tj_Trig",12,11,0.3332,,"","待标注"
93,"AES-T1700","top.TSC.Antena",6,5,0.3071,,"","待标注"
94,"AES-T1700","top.TSC.Baud8GeneratorACC",13,12,0.3092,,"","待标注"
95,"AES-T1700","top.TSC.beep1",14,15,0.2053,,"","待标注"
96,"AES-T1700","top.TSC.beep2",20,21,0.2086,,"","待标注"
97,"AES-T1700","top.TSC.beeps",4,3,0.2563,,"","待标注"
98,"AES-T1700","top.TSC.MUX_Sel",11,11,0.2675,,"","待标注"
99,"AES-T1700","top.TSC.SHIFTReg",9,8,0.3602,,"","待标注"
100,"AES-T1800","top.Trojan.DynamicPower",18,19,0.2583,,"","待标注"
101,"AES-T1800","top.Trojan.Tj_Trig",12,11,0.2924,,"","待标注"
102,"AES-T1900","top.Trojan.Counter",9,8,0.2121,,"","待标注"
103,"AES-T1900","top.Trojan.DynamicPower",18,19,0.2964,,"","待标注"
104,"AES-T1900","top.Trojan.Tj_Trig",12,11,0.2279,,"","待标注"
105,"AES-T200","top.Trojan.lfsr.d0",17,19,0.5607,,"","待标注"
106,"AES-T200","top.Trojan.lfsr.lfsr_stream",15,14,0.2252,,"","待标注"
107,"AES-T200","top.Trojan.load",452,577,0.3219,,"","待标注"
108,"AES-T2000","top.Trigger.State0",12,11,0.3391,,"","待标注"
109,"AES-T2000","top.Trigger.State1",19,20,0.2581,,"","待标注"
110,"AES-T2000","top.Trigger.State2",26,29,0.3045,,"","待标注"
