idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
142,"RS232-T700","top.iXMIT.ena_bitCountH",33,44,0.4910,,"","待标注"
143,"RS232-T700","top.iXMIT.load_shiftRegH",28,37,0.2802,,"","待标注"
144,"RS232-T700","top.iXMIT.next_state",48,58,0.3644,,"","待标注"
145,"RS232-T700","top.iXMIT.rst_bitCountH",28,37,0.3005,,"","待标注"
146,"RS232-T700","top.iXMIT.shiftEnaH",26,34,0.3449,,"","待标注"
147,"RS232-T700","top.iXMIT.state_DataSend",49,58,0.2662,,"","待标注"
148,"RS232-T700","top.iXMIT.uart_xmitH",24,29,0.2036,,"","待标注"
149,"RS232-T700","top.iXMIT.xmit_doneH",9,8,0.8299,,"","待标注"
150,"RS232-T700","top.iXMIT.xmit_doneInH",32,43,0.2343,,"","待标注"
151,"RS232-T700","top.iXMIT.xmit_ShiftRegH",120,175,0.2467,,"","待标注"
152,"RS232-T700","top.iXMIT.xmitDataSelH",29,35,0.3761,,"","待标注"
153,"RS232-T800","top.iRECEIVER.cntr_resetH",28,35,0.8770,,"","待标注"
154,"RS232-T800","top.iRECEIVER.countH",19,25,0.7780,,"","待标注"
155,"RS232-T800","top.iRECEIVER.next_state",44,49,0.5452,,"","待标注"
156,"RS232-T800","top.iRECEIVER.rec_data_cntrH_1",33,39,0.0967,,"","待标注"
157,"RS232-T800","top.iRECEIVER.rec_data_cntrH_2",37,42,0.1394,,"","待标注"
158,"RS232-T800","top.iRECEIVER.rec_data_cntrH_3",14,15,0.3780,,"","待标注"
159,"RS232-T800","top.iRECEIVER.rec_readyH",8,7,0.1623,,"","待标注"
160,"RS232-T800","top.iRECEIVER.rec_readyH_temp",6,5,0.8398,,"","待标注"
161,"RS232-T800","top.iRECEIVER.rec_readyInH",24,30,0.8830,,"","待标注"
162,"RS232-T800","top.iRECEIVER.rstCountH",23,29,0.7645,,"","待标注"
163,"RS232-T800","top.iRECEIVER.shiftH",19,25,0.8130,,"","待标注"
164,"RS232-T800","top.iXMIT.bitCell_cntrH",23,27,0.3977,,"","待标注"
165,"RS232-T800","top.iXMIT.bitCountH",25,30,0.4548,,"","待标注"
166,"RS232-T800","top.iXMIT.countEnaH",38,50,0.2631,,"","待标注"
167,"RS232-T800","top.iXMIT.ena_bitCountH",33,44,0.3495,,"","待标注"
168,"RS232-T800","top.iXMIT.load_shiftRegH",28,37,0.2968,,"","待标注"
169,"RS232-T800","top.iXMIT.next_state",48,58,0.2344,,"","待标注"
170,"RS232-T800","top.iXMIT.rst_bitCountH",28,37,0.2564,,"","待标注"
171,"RS232-T800","top.iXMIT.shiftEnaH",26,34,0.2966,,"","待标注"
172,"RS232-T800","top.iXMIT.uart_xmitH",24,29,0.2658,,"","待标注"
173,"RS232-T800","top.iXMIT.xmit_doneInH",32,43,0.1935,,"","待标注"
174,"RS232-T800","top.iXMIT.xmit_ShiftRegH",126,184,0.3483,,"","待标注"
175,"RS232-T800","top.iXMIT.xmitDataSelH",29,35,0.3168,,"","待标注"
176,"RS232-T900","top.iRECEIVER.cntr_resetH",28,35,0.8859,,"","待标注"
177,"RS232-T900","top.iRECEIVER.countH",19,25,0.7555,,"","待标注"
178,"RS232-T900","top.iRECEIVER.next_state",44,49,0.3599,,"","待标注"
