batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
ALL,threshold_TjIn,0.63,0.8781725888324874,1.0,0.7828054298642534,0,346,0,0,96,135,
ALL,threshold_TjIn,0.64,0.8795944233206591,1.0,0.7850678733031674,0,347,0,0,95,135,
ALL,threshold_TjIn,0.65,0.8838383838383839,1.0,0.7918552036199095,0,350,0,0,92,135,
ALL,threshold_TjIn,0.66,0.8838383838383839,1.0,0.7918552036199095,0,350,0,0,92,135,
ALL,threshold_TjIn,0.67,0.8852459016393442,1.0,0.7941176470588235,0,351,0,0,91,135,
ALL,threshold_TjIn,0.68,0.8866498740554156,1.0,0.7963800904977375,0,352,0,0,90,135,
ALL,threshold_TjIn,0.69,0.8866498740554156,1.0,0.7963800904977375,0,352,0,0,90,135,
ALL,threshold_TjIn,0.7,0.8866498740554156,1.0,0.7963800904977375,0,352,0,0,90,135,
ALL,threshold_TjIn,0.71,0.8894472361809046,1.0,0.8009049773755657,0,354,0,0,88,135,
ALL,threshold_TjIn,0.72,0.8922305764411028,1.0,0.8054298642533937,0,356,0,0,86,135,
ALL,threshold_TjIn,0.73,0.895,1.0,0.8099547511312217,0,358,0,0,84,135,
ALL,threshold_TjIn,0.74,0.907292954264524,1.0,0.830316742081448,0,367,0,0,75,135,
ALL,threshold_TjIn,0.75,0.908641975308642,1.0,0.832579185520362,0,368,0,0,74,135,
ALL,threshold_TjIn,0.76,0.9113300492610837,1.0,0.8371040723981901,0,370,0,0,72,135,
ALL,threshold_TjIn,0.77,0.9153374233128834,1.0,0.8438914027149321,0,373,0,0,69,135,
ALL,threshold_TjIn,0.78,0.9166666666666666,1.0,0.8461538461538461,0,374,0,0,68,135,
ALL,threshold_TjIn,0.79,0.9258809234507899,1.0,0.8619909502262444,0,381,0,0,61,135,
ALL,threshold_TjIn,0.8,0.9375,1.0,0.8823529411764706,0,390,0,0,52,135,
ALL,threshold_TjIn,0.81,0.9400479616306954,1.0,0.8868778280542986,0,392,0,0,50,135,
ALL,threshold_TjIn,0.82,0.9463647199046484,1.0,0.8981900452488688,0,397,0,0,45,135,
ALL,threshold_TjIn,0.83,0.9538461538461539,1.0,0.9117647058823529,0,403,0,0,39,135,
ALL,threshold_TjIn,0.84,0.9600000000000001,1.0,0.9230769230769231,0,408,0,0,34,135,
ALL,threshold_TjIn,0.85,0.9660818713450292,1.0,0.9343891402714932,0,413,0,0,29,135,
ALL,threshold_TjIn,0.86,0.9720930232558139,1.0,0.9457013574660633,0,418,0,0,24,135,
ALL,threshold_TjIn,0.87,0.9815668202764977,1.0,0.9638009049773756,0,426,0,0,16,135,
ALL,threshold_TjIn,0.88,0.9873997709049255,1.0,0.9751131221719457,0,431,0,0,11,135,
ALL,threshold_TjIn,0.89,0.9920182440136829,1.0,0.9841628959276018,0,435,0,0,7,135,
ALL,threshold_TjIn,0.9,0.994311717861206,1.0,0.9886877828054299,0,437,0,0,5,135,
ALL,threshold_TjIn,0.91,0.9977324263038548,1.0,0.995475113122172,0,440,0,0,2,135,
ALL,threshold_TjIn,0.92,0.9977324263038548,1.0,0.995475113122172,0,440,0,0,2,135,
ALL,threshold_TjIn,0.93,0.9977324263038548,1.0,0.995475113122172,0,440,0,0,2,135,
ALL,threshold_TjIn,0.94,0.9988674971687429,1.0,0.997737556561086,0,441,0,0,1,135,
ALL,threshold_TjIn,0.95,1.0,1.0,1.0,0,442,0,0,0,135,
ALL,threshold_TjIn,0.96,1.0,1.0,1.0,0,442,0,0,0,135,
ALL,threshold_TjIn,0.97,1.0,1.0,1.0,0,442,0,0,0,135,
ALL,threshold_TjIn,0.98,1.0,1.0,1.0,0,442,0,0,0,135,
ALL,threshold_TjIn,0.99,1.0,1.0,1.0,0,442,0,0,0,135,
ALL,threshold_TjIn2,0.5,0.924812030075188,1.0,0.8601398601398601,0,123,0,0,20,135,
ALL,threshold_TjIn2,0.51,0.9368029739776951,1.0,0.8811188811188811,0,126,0,0,17,135,
ALL,threshold_TjIn2,0.52,0.9407407407407408,1.0,0.8881118881118881,0,127,0,0,16,135,
ALL,threshold_TjIn2,0.53,0.9485294117647058,1.0,0.9020979020979021,0,129,0,0,14,135,
ALL,threshold_TjIn2,0.54,0.9562043795620437,1.0,0.916083916083916,0,131,0,0,12,135,
ALL,threshold_TjIn2,0.55,0.963768115942029,1.0,0.9300699300699301,0,133,0,0,10,135,
ALL,threshold_TjIn2,0.56,0.974910394265233,1.0,0.951048951048951,0,136,0,0,7,135,
ALL,threshold_TjIn2,0.57,0.974910394265233,1.0,0.951048951048951,0,136,0,0,7,135,
