source,circuit_name,detection_time_s,added_signals,removed_signals,total_changes
TjIn,RS232-T901,0.0,4,1,5
TjIn2,adder-T100,0.0,2,0,2
TjIn2,adder-T600,0.0,0,0,0
TjIn2,adder-T601,0.0,0,0,0
TjIn2,adder-T800,0.0,0,0,0
TjIn2,ata-T100,0.0151,3,0,3
TjIn2,ata-T200,0.0084,2,0,2
TjIn2,ata-T300,0.0113,3,0,3
TjIn2,ata-T600,0.0086,0,0,0
TjIn2,ata-T800,0.0058,0,0,0
TjIn2,datetime-T100,0.0058,3,0,3
TjIn2,datetime-T200,0.0049,2,0,2
TjIn2,datetime-T300,0.0034,3,0,3
TjIn2,datetime-T600,0.0031,0,0,0
TjIn2,datetime-T700,0.0031,0,0,0
TjIn2,datetime-T800,0.0034,0,0,0
TjIn2,dmx512-T100,0.005,3,0,3
TjIn2,dmx512-T200,0.005,2,0,2
TjIn2,dmx512-T300,0.0034,3,0,3
TjIn2,dmx512-T700,0.0042,0,0,0
TjIn2,dmx512-T800,0.0,0,0,0
TjIn2,ima_adpcm_enc_dec-T100,0.0083,3,0,3
TjIn2,ima_adpcm_enc_dec-T200,0.0,2,0,2
TjIn2,ima_adpcm_enc_dec-T300,0.0,3,0,3
TjIn2,interrupt_controller-T100,0.0,3,0,3
TjIn2,interrupt_controller-T200,0.0,2,0,2
TjIn2,interrupt_controller-T300,0.0,3,0,3
TjIn2,interrupt_controller-T600,0.0,0,0,0
TjIn2,interrupt_controller-T700,0.0159,0,0,0
TjIn2,interrupt_controller-T800,0.0,0,0,0
TjIn2,mmuart-T100,0.0,3,0,3
TjIn2,mmuart-T200,0.0,2,0,2
TjIn2,mmuart-T600,0.0,0,0,0
TjIn2,mmuart-T700,0.0,0,0,0
TjIn2,mmuart-T800,0.0,0,0,0
TjIn2,p16c5x-T100,0.0,3,0,3
TjIn2,p16c5x-T200,0.0165,2,0,2
TjIn2,p16c5x-T300,0.0,3,0,3
TjIn2,p16c5x-T600,0.0,0,0,0
TjIn2,p16c5x-T700,0.0148,0,0,0
TjIn2,p16c5x-T800,0.0,0,0,0
TjIn2,RC6-T100,0.0,3,0,3
TjIn2,RC6-T200,0.0147,2,0,2
TjIn2,RC6-T300,0.0015,3,0,3
TjIn2,RC6-T600,0.0,0,0,0
TjIn2,RC6-T700,0.0,0,0,0
TjIn2,RC6-T800,0.0,0,0,0
TjIn2,sasc-T100,0.0,3,0,3
TjIn2,sasc-T200,0.0155,2,0,2
TjIn2,sasc-T300,0.0,2,0,2
TjIn2,sasc-T600,0.0,0,0,0
TjIn2,sasc-T700,0.0,0,0,0
TjIn2,sasc-T800,0.0,0,0,0
TjIn2,simple_spi-T100,0.0,3,0,3
TjIn2,simple_spi-T200,0.012,2,0,2
TjIn2,simple_spi-T300,0.0,3,0,3
TjIn2,simple_spi-T600,0.0,0,0,0
TjIn2,simple_spi-T700,0.0,0,0,0
TjIn2,simple_spi-T800,0.0,0,0,0
TjIn2,sub86-T100,0.0,3,0,3
TjIn2,sub86-T200,0.0,2,0,2
TjIn2,sub86-T300,0.0156,3,0,3
TjIn2,sub86-T700,0.0,0,0,0
TjIn2,systemcdes-T100,0.01,3,0,3
TjIn2,systemcdes-T200,0.0,2,0,2
TjIn2,systemcdes-T300,0.0189,3,0,3
TjIn2,systemcdes-T700,0.0132,0,0,0
TjIn2,systemcdes-T800,0.0,0,0,0
TjIn2,tiny_spi-T100,0.0134,3,0,3
TjIn2,tiny_spi-T200,0.0,2,0,2
TjIn2,tiny_spi-T300,0.0,3,0,3
TjIn2,tiny_spi-T600,0.0,0,0,0
TjIn2,tiny_spi-T700,0.0,0,0,0
TjIn2,tiny_spi-T800,0.0,0,0,0
TjIn2,uart2bus-T100,0.0,3,0,3
TjIn2,uart2bus-T200,0.0162,2,0,2
TjIn2,uart2bus-T300,0.0,3,0,3
TjIn2,uart2bus-T600,0.0,0,0,0
TjIn2,uart2bus-T700,0.0,0,0,0
TjIn2,uart2bus-T800,0.0157,0,0,0
TjIn2,usb_phy-T100,0.0,3,0,3
TjIn2,usb_phy-T200,0.0,2,0,2
TjIn2,usb_phy-T300,0.0,3,0,3
TjIn2,usb_phy-T700,0.0,0,0,0
TjIn2,usb_phy-T800,0.0156,0,0,0
TjIn2,wb_lpc-T100,0.0097,3,0,3
TjIn2,wb_lpc-T200,0.0124,2,0,2
TjIn2,wb_lpc-T300,0.006,3,0,3
TjIn2,xtea-T100,0.0,3,0,3
TjIn2,xtea-T200,0.0,2,0,2
TjIn2,xtea-T300,0.0154,3,0,3
